date,county,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
4/20/2020,Humboldt,44,11,15,0,0
4/20/2020,Imperial,36,0,0,0,0
4/20/2020,Inyo,10,1,0,0,0
4/20/2020,Kern,2,2,15,15,0
4/20/2020,Kings,0,0,0,0,0
4/20/2020,Lake,10,10,0,0,0
4/20/2020,Lassen,1,1,0,0,0
4/20/2020,Los Angeles,3172,888,658,647,0
4/20/2020,Madera,0,0,0,0,0
4/20/2020,Marin,112,73,44,0,0
4/20/2020,Mariposa,44,13,0,0,0
4/20/2020,Mendocino,134,95,0,0,0
4/20/2020,Merced,10,0,0,0,0
4/20/2020,Mono,48,1,0,0,0
4/20/2020,Modoc,10,0,0,0,0
4/20/2020,Monterey,0,0,108,15,8
4/20/2020,Napa,104,48,18,0,0
4/20/2020,Nevada,27,0,0,0,0
4/20/2020,Orange,276,31,78,78,0
4/20/2020,Placer,15,15,0,0,0
4/20/2020,Plumas,0,0,0,0,0
4/20/2020,Riverside,422,303,15,15,0
4/20/2020,Sacramento,316,63,63,63,0
4/20/2020,San Benito,67,41,3,0,0
4/20/2020,San Bernardino,50,37,20,0,20
4/20/2020,San Diego,2029,409,45,44,0
4/20/2020,San Francisco,1273,718,0,0,0
4/20/2020,San Joaquin,0,0,8,0,0
4/20/2020,San Luis Obispo,154,4,14,14,0
4/20/2020,San Mateo,94,64,0,0,0
4/20/2020,Santa Barbara,85,9,0,0,0
4/20/2020,Santa Clara,453,234,105,105,0
4/20/2020,Santa Cruz,27,20,35,0,0
4/20/2020,Shasta,20,0,0,0,0
4/20/2020,Sierra,0,0,0,0,0
4/20/2020,Siskiyou,0,0,6,6,0
4/20/2020,Solano,0,0,0,0,0
4/20/2020,Sonoma,45,45,0,0,0
4/20/2020,Stanislaus,121,0,0,0,0
4/20/2020,Sutter,16,16,5,0,0
4/20/2020,Tehama,0,0,5,5,0
4/20/2020,Trinity,10,0,0,0,0
4/20/2020,Tulare,56,0,0,0,0
4/20/2020,Tuolumne,0,0,0,0,0
4/20/2020,Ventura,398,275,0,0,0
4/20/2020,Yolo,246,206,0,0,0
4/20/2020,Yuba,35,18,5,0,0
4/21/2020,Alameda,403,346,91,91,0
